message,label
more hp to farm,Non-Toxic
xd,Non-Toxic
xd,Non-Toxic
Racecar got one tapped,Non-Toxic
xd,Non-Toxic
nom nom,Non-Toxic
track him,Non-Toxic
lol,Non-Toxic
e100,Non-Toxic
"Wanna fight, or cap?",Non-Toxic
cap,Non-Toxic
how many mm has he on back?,Non-Toxic
cap,Non-Toxic
turet 150-180mm,Non-Toxic
omg,Non-Toxic
cant pen no matte what,Non-Toxic
run,Non-Toxic
gg,Non-Toxic
gj,Non-Toxic
gg,Non-Toxic
need one frag misiion,Non-Toxic
thx,Non-Toxic
ddd,Non-Toxic
sorry bro,Non-Toxic
ammo rack,Non-Toxic
reload 70secs,Non-Toxic
np,Non-Toxic
tnh will push,Non-Toxic
watch for arty fire there,Non-Toxic
f1,Non-Toxic
strv,Non-Toxic
hahahhahahha,Non-Toxic
well done,Non-Toxic
help me on the hill please,Non-Toxic
degen bots,Insults and Flaming
muhaha,Non-Toxic
"Core1 (T49), you are blocking my target!",Non-Toxic
ok lost,Non-Toxic
fck rng,Non-Toxic
just idiots,Insults and Flaming
mongo m53,Insults and Flaming
def,Non-Toxic
nb team,Non-Toxic
rigged shtw,Insults and Flaming
fck this gamew,Other Offensive Texts
mimiim,Non-Toxic
this tank is paper,Non-Toxic
guys...,Non-Toxic
you wanna loose that right?,Insults and Flaming
back,Non-Toxic
gj,Non-Toxic
gg,Non-Toxic
char mle idiot press x,Non-Toxic
Im Spotted at G4!,Non-Toxic
Im Spotted at G6!,Non-Toxic
fcking cant help anyone??,Insults and Flaming
"darber00[BAM] (AE Phase I), не мешай стрелять! Уйди с линии огня по противнику!",Non-Toxic
??17,Non-Toxic
131,Non-Toxic
10,Non-Toxic
20,Non-Toxic
ebr,Non-Toxic
go,Non-Toxic
abr ma tole,Non-Toxic
ty,Non-Toxic
gg,Non-Toxic
g,Non-Toxic
gg,Non-Toxic
*** terrible day,Other Offensive Texts
those happen,Non-Toxic
WTF mid,Insults and Flaming
?,Non-Toxic
tiger go play in your sandbox,Insults and Flaming
pathetic...,Other Offensive Texts
polska gurom,Non-Toxic
sry,Non-Toxic
nice,Non-Toxic
wait me,Non-Toxic
but im slow,Non-Toxic
no ammo,Non-Toxic
gg,Non-Toxic
he is slow,Non-Toxic
gg,Non-Toxic
XD,Non-Toxic
bc noob,Insults and Flaming
go spot^122,Non-Toxic
BC NOOB,Insults and Flaming
you shoot me on spot place. then spot yourself,Non-Toxic
go BC,Non-Toxic
IDIOTA BC,Non-Toxic
GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,Non-Toxic
GG,Non-Toxic
zzzzz,Non-Toxic
"last game, 7 teammates with &quot;0""but WOt doesnt fix games...lol",Non-Toxic
"hey assholes i sptot you protect me, fuxk you",Insults and Flaming
gg,Non-Toxic
pierdol sie,Insults and Flaming
push it,Non-Toxic
idiot campersw,Non-Toxic
elc go there,Non-Toxic
vvait,Non-Toxic
dip=death south=win,Non-Toxic
top team!!!! gj,Non-Toxic
gg,Non-Toxic
team bot,Insults and Flaming
next idiot team,Insults and Flaming
tier x pigs use gold,Insults and Flaming
lose,Non-Toxic
gg wot OP trash,Insults and Flaming
everyones use gold ammo wtf ?,Non-Toxic
wtf,Other Offensive Texts
%300 luck boost,Non-Toxic
e3 hp ?,Non-Toxic
one hit,Non-Toxic
200,Non-Toxic
char,Non-Toxic
strv,Non-Toxic
char 3-4,Non-Toxic
char cd,Non-Toxic
where strv?,Non-Toxic
obj move press W,Non-Toxic
gg,Non-Toxic
sorry,Non-Toxic
arty,Non-Toxic
I'm Spotted in G3 :(!,Non-Toxic
;),Non-Toxic
I'm Spotted in H3 :(!,Non-Toxic
relax,Non-Toxic
it's a 15min game,Non-Toxic
i know,Non-Toxic
yeah,Non-Toxic
need to wait for their lt,Non-Toxic
only arta on me,Non-Toxic
3 shells from arta in 30 sek,Non-Toxic
i hate this game,Other Offensive Texts
so thats why i not going there,Non-Toxic
come back bro,Non-Toxic
me too,Non-Toxic
but this map is ***,Other Offensive Texts
thats how you lose,Other Offensive Texts
when your heavies are camping in the bushes,Other Offensive Texts
because in your posiction im going to dead,Other Offensive Texts
and arty can shoot for me,Non-Toxic
i the bushes i can do good dmg,Non-Toxic
if i have spot,Non-Toxic
gg,Non-Toxic
I'll be spotting now,Non-Toxic
enemy arty reportet,Non-Toxic
yeah,Non-Toxic
i did it,Non-Toxic
thx for cover,Non-Toxic
this game is ***,Other Offensive Texts
4.3k damage game,Non-Toxic
gone to shit,Insults and Flaming
Im Spotted at B3!,Non-Toxic
Im Spotted at B2!,Non-Toxic
Im Spotted at C1!,Non-Toxic
at8 fuck you,Insults and Flaming
Im Spotted at J3!,Non-Toxic
Im Spotted at J5!,Non-Toxic
Im Spotted at E8!,Non-Toxic
let me 8,Non-Toxic
Im Spotted at E9!,Non-Toxic
gg,Non-Toxic
glhf all,Non-Toxic
rep badger,Insults and Flaming
gj grille 15 ...,Non-Toxic
group of idiots,Insults and Flaming
Good luck,Non-Toxic
Have fun!,Non-Toxic
amy support ???,Non-Toxic
arty??,Non-Toxic
where,Non-Toxic
gg,Non-Toxic
HO RI GO,Non-Toxic
gg,Non-Toxic
idiot,Non-Toxic
\go,Non-Toxic
idiots,Non-Toxic
gooooooooo,Non-Toxic
amx spot them,Non-Toxic
e 25,Non-Toxic
ow,Non-Toxic
try to spot them hellcat,Non-Toxic
we have to kill amx first,Non-Toxic
gg,Non-Toxic
mach den leo weg ??-??,Non-Toxic
kaka,Non-Toxic
nuuu,Non-Toxic
sleep,Non-Toxic
more,Non-Toxic
how he came,Non-Toxic
bc 12 middle spot???,Non-Toxic
57% win,Non-Toxic
fu,Insults and Flaming
hahahha,Non-Toxic
so you can carry ;p,Non-Toxic
gg!,Non-Toxic
hahah ding 703 2,Non-Toxic
su 14 2 pls deinstall,Non-Toxic
3 mark on arty is bullshit,Non-Toxic
;),Non-Toxic
ARTY,Non-Toxic
elc,Non-Toxic
ebr go spot,Non-Toxic
elc here,Non-Toxic
HILL IS LOOSE,Non-Toxic
you happy,Non-Toxic
you used the wrong bushlune,Non-Toxic
gj heavies,Non-Toxic
gg,Non-Toxic
sry,Non-Toxic
nice spot,Non-Toxic
plz join 4 mission,Non-Toxic
idiot on hill,Insults and Flaming
they just stay,Non-Toxic
cant we push on 5,Non-Toxic
5,Non-Toxic
4,Non-Toxic
3,Non-Toxic
2,Non-Toxic
gg,Non-Toxic
"n,tm",Non-Toxic
thx BC,Non-Toxic
Im Spotted at E3!,Non-Toxic
see more,Non-Toxic
Im Spotted at F2!,Non-Toxic
spot,Non-Toxic
gg,Non-Toxic
that see who will be the lucky guy,Non-Toxic
lol,Non-Toxic
3 FV4005,Non-Toxic
gg,Non-Toxic
try next time,Non-Toxic
revenge,Non-Toxic
go back,Non-Toxic
All!,Non-Toxic
I can stay here for the Base....,Non-Toxic
103,Non-Toxic
deleted,Non-Toxic
bc,Non-Toxic
lol,Non-Toxic
good day will come,Non-Toxic
keep sleep,Non-Toxic
move!!!,Non-Toxic
asia camping mode,Hate and Harassment
play tier 10,Non-Toxic
always waiting,Non-Toxic
then don't play it,Non-Toxic
nothing to do waiting,Non-Toxic
Kran wait,Non-Toxic
yeah wait,Non-Toxic
4005 move!!!,Non-Toxic
i am moving,Non-Toxic
whan u come,Non-Toxic
game over,Other Offensive Texts
idiot 4005,Insults and Flaming
lose beacause of you!!!,Insults and Flaming
go,Non-Toxic
no time,Non-Toxic
why you wait ???,Non-Toxic
I reported that idiiot,Insults and Flaming
idiot,Insults and Flaming
...,Non-Toxic
debil PzIII E idiot lame players,Insults and Flaming
S35 Back,Non-Toxic
Mission,Non-Toxic
Im Spotted at K4!,Non-Toxic
Im Spotted at K3!,Non-Toxic
gg heavies,Non-Toxic
youre welcome,Non-Toxic
you idiot meds,Non-Toxic
Im Spotted at H1!,Non-Toxic
bots,Insults and Flaming
lol idiot team again,Insults and Flaming
Im Spotted at E5!,Non-Toxic
Im Spotted at E6!,Non-Toxic
spotter somewhere,Non-Toxic
Im Spotted at C8!,Non-Toxic
Im Spotted at D8!,Non-Toxic
Im Spotted at E8!,Non-Toxic
TEAM IDIOT,Insults and Flaming
FUCK IDIOTS,Insults and Flaming
dont die elc,Non-Toxic
try my best,Non-Toxic
&lt;3,Non-Toxic
excellent,Non-Toxic
*chuckles* im in danger,Non-Toxic
sheeeeet,Non-Toxic
grrr,Non-Toxic
fk,Other Offensive Texts
sry,Non-Toxic
we tried elc,Non-Toxic
almost,Non-Toxic
oh,Non-Toxic
maybe,Non-Toxic
nt nt,Non-Toxic
damn,Other Offensive Texts
sorry,Non-Toxic
gg wg,Non-Toxic
nice thx,Non-Toxic
cry,Non-Toxic
more,Non-Toxic
please,Non-Toxic
morti mati,Non-Toxic
Nice,Non-Toxic
i want help but i cant,Non-Toxic
-_-,Non-Toxic
ARTY,Non-Toxic
HIT TS5,Non-Toxic
gg,Non-Toxic
MOVE,Non-Toxic
GJ,Non-Toxic
DONT MOVE,Non-Toxic
tankussy,Non-Toxic
No choice buy the blimp,Non-Toxic
tiger wth,Non-Toxic
waaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Non-Toxic
gg men,Non-Toxic
hey t25/2,Non-Toxic
load high explosive for ikv,Non-Toxic
load high explosive my friend,Non-Toxic
GG,Non-Toxic
gg,Non-Toxic
t??tt what are u bro,Non-Toxic
moveee com heeelp,Non-Toxic
titt,Non-Toxic
move bot,Insults and Flaming
hi all,Non-Toxic
gl,Non-Toxic
Good luck to you too!,Non-Toxic
to you too,Non-Toxic
to all too youu,Non-Toxic
carabinieri,Non-Toxic
defend mode pleae,Non-Toxic
ok,Non-Toxic
broski,Non-Toxic
Im Spotted at H5!,Non-Toxic
Im Spotted at H5!,Non-Toxic
Im Spotted at G6!,Non-Toxic
wait for them,Non-Toxic
do not engage,Non-Toxic
Im Spotted at J8!,Non-Toxic
come on poland,Non-Toxic
flank,Non-Toxic
sry,Non-Toxic
reload time,Non-Toxic
gg,Non-Toxic
he shot?,Non-Toxic
ir not?,Non-Toxic
yep,Non-Toxic
gg,Non-Toxic
&gt;=o,Non-Toxic
im laggging,Non-Toxic
so much,Non-Toxic
ok bro,Non-Toxic
live,Non-Toxic
iam stock,Non-Toxic
so much,Non-Toxic
light come and spot,Non-Toxic
wtf,Non-Toxic
all stay,Non-Toxic
can't damage,Non-Toxic
"slowly, wait for us",Non-Toxic
gg,Non-Toxic
team,Non-Toxic
why my art so bad all miss,Non-Toxic
great teamplay,Non-Toxic
gg,Non-Toxic
pls help outer side,Non-Toxic
wz,Non-Toxic
leo,Non-Toxic
sry,Non-Toxic
i miss,Non-Toxic
np mate you helped,Non-Toxic
you are stuid asf,Insults and Flaming
wow such a great team,Non-Toxic
gg,Non-Toxic
idiot bots,Insults and Flaming
gg,Non-Toxic
stupid coward cavallier,Insults and Flaming
slow thick KV-1,Non-Toxic
:P,Non-Toxic
bravo idiots,Insults and Flaming
going on crossfire,Non-Toxic
bro amx cant drive,Non-Toxic
давай,Non-Toxic
красава!&quot;,Non-Toxic
gg,Non-Toxic
how did you help ?,Non-Toxic
gg,Non-Toxic
i am gold n00b,Other Offensive Texts
ofc,Non-Toxic
perma spotted behind a million stuff,Non-Toxic
next lepra team,Insults and Flaming
idiots,Non-Toxic
play tetris,Non-Toxic
char?,Non-Toxic
Im Spotted at J2!,Non-Toxic
nice 2 bots already dead,Insults and Flaming
et voila encure de perdue,Non-Toxic
hwk why,Non-Toxic
gud team,Non-Toxic
are you not spotting,Non-Toxic
report,Non-Toxic
report all t92 and hwk 30,Non-Toxic
hwk go spot,Non-Toxic
0 4,Non-Toxic
spot idiot,Insults and Flaming
and you are responsible for half of it,Non-Toxic
report hwk,Non-Toxic
gud spot,Insults and Flaming
report hwk,Non-Toxic
f3 su,Non-Toxic
Im Spotted at K3!,Non-Toxic
fuck spotter,Insults and Flaming
this thing is a turtle,Insults and Flaming
and game over,Non-Toxic
"Opalko (AMX 13 FL 11), you are blocking my target!",Non-Toxic
anybody notice anything on there minimap,Non-Toxic
east will fall quickly,Non-Toxic
carro p 88 ?,Non-Toxic
manco hijo de p,Non-Toxic
report carro p 88,Non-Toxic
report dead evelyn,Non-Toxic
move,Non-Toxic
gg,Non-Toxic
aery,Non-Toxic
M41 pussy,Insults and Flaming
1 kill,Non-Toxic
sheridan goes puff,Non-Toxic
bruh,Non-Toxic
gg,Non-Toxic
ggg,Non-Toxic
nice spotting,Non-Toxic
omg t29 really ?,Non-Toxic
u blind or something,Insults and Flaming
зброд ебланов,Non-Toxic
f[f[f[f,Non-Toxic
не выдержал морального давления,Non-Toxic
понулях,Non-Toxic
4200 натанкованного,Non-Toxic
...,Non-Toxic
thx,Non-Toxic
ill go,Non-Toxic
i spot but must go,Non-Toxic
ok,Non-Toxic
bugi,Non-Toxic
move,Non-Toxic
nice,Non-Toxic
niceeee,Non-Toxic
gg,Non-Toxic
SHOOOOOOOOOOT,Non-Toxic
gg kids 8 yrs,Insults and Flaming
BC LEARN TO PLAY,Non-Toxic
wtf,Other Offensive Texts
strv,Non-Toxic
3 tank lain 1,Non-Toxic
nice spot,Non-Toxic
ping 999,Non-Toxic
light enamy,Non-Toxic
udes,Non-Toxic
nice spot,Non-Toxic
LOOOOOOOOOOOOOOOOOOOOOOOL,Non-Toxic
ah as allways...ay fuck team hits nothing,Insults and Flaming
useless smoks,Insults and Flaming
i hopw we lose this game,Other Offensive Texts
you monkey dont deserve a win,Insults and Flaming
"Get'em to Turn Sideways for me and Don't Die, will ya's...???",Threats
Im Spotted at C5!,Non-Toxic
"really, none of you Pussies went to Spot the Mid...",Insults and Flaming
fuck this... the Suicide is In and you Lot Lose...,Insults and Flaming
Throwing the Game and Giving Up the Middle...,Other Offensive Texts
Im Spotted at C5!,Non-Toxic
Im Spotted at B5!,Non-Toxic
"Get Wrecked... you wanted to Lose anyway, so Lose...",Insults and Flaming
theres your help,Non-Toxic
"planning on Spewctating, you're all a waste of my Time...",Insults and Flaming
"183, they were all sideways back here...smh",Non-Toxic
i have a feeling you just needed a reason to bitch and complain you old fuck,Non-Toxic
gg bots,Insults and Flaming
ain't firing a Shot this Game...,Non-Toxic
except that one...,Non-Toxic
"why dont you go scream at the kids outside, getting too close to your grass",Insults and Flaming
Im Spotted at B9!,Non-Toxic
ratherr watch you all LOse this instead,Non-Toxic
lol,Non-Toxic
waste of Pixels you Lot are...,Non-Toxic
later losers...,Non-Toxic
you old fuck,Hate and Harassment
oh no i'm spotted,Non-Toxic
Bye,Non-Toxic
fv,Non-Toxic
GG mino hah,Non-Toxic
PL lsoers only bonus in this fuck game,Other Offensive Texts
J3,Non-Toxic
хрххпхпхпхпхххххахаха,Non-Toxic
цв,Non-Toxic
speak english,Non-Toxic
gj cap,Non-Toxic
ok lets go kill artys,Non-Toxic
gg,Non-Toxic
gj,Non-Toxic
you guys in trhe east gotta do something,Non-Toxic
"need a mission, ty ty",Non-Toxic
gg,Non-Toxic
thx arty idiots,Insults and Flaming
recap debieles,Non-Toxic
USLESS BOT T49,Insults and Flaming
T49 stay bot,Non-Toxic
why does our 279e insist on being out of the battle for like 5 minutes driving around completely empty map,Non-Toxic
report pls 279,Non-Toxic
"being BAD at the game is not bannable, you can't report the 279e",Non-Toxic
fight of the muppets,Other Offensive Texts
heavy leo party,Non-Toxic
T92 HMC hit me,Non-Toxic
T92 HMC hit me,Non-Toxic
e4,Non-Toxic
fv and t62,Non-Toxic
bunch of shiters,Insults and Flaming
t62 afk pls report,Non-Toxic
life calling,Non-Toxic
bencekas te t??ncosn?? vagy ...,Non-Toxic
:(,Non-Toxic
gg,Non-Toxic
stupid heavys,Non-Toxic
GG,Non-Toxic
Im Spotted at D7!,Non-Toxic
Im Spotted at E7!,Non-Toxic
Im Spotted at C3!,Non-Toxic
Im Spotted at C3!,Non-Toxic
gg,Non-Toxic
enjoying the view,Non-Toxic
gg,Non-Toxic
thanks ;d,Non-Toxic
why did you go there grile,Non-Toxic
progetto gooo,Non-Toxic
help 50tp,Non-Toxic
THANKS,Non-Toxic
MORONS,Insults and Flaming
FUCK YOUR ASS,Insults and Flaming
GRILLE IM REPORTING YOU BITCH,Insults and Flaming
t92 you cock sucker,Insults and Flaming
what are you doin here,Non-Toxic
report grille for bot,Insults and Flaming
report t92 first,Non-Toxic
and gtrile too,Non-Toxic
firefly,Non-Toxic
...,Non-Toxic
dementi,Non-Toxic
prosim ta reportni ho,Non-Toxic
kvoli nemu som umrel,Non-Toxic
fu wanker,Insults and Flaming
STFU,Other Offensive Texts
your bastards family wanker,Insults and Flaming
Excuse me,Non-Toxic
nice lucky su ;-),Non-Toxic
GOOD JOB GRILLE,Non-Toxic
the best player ever,Non-Toxic
suck all wanker,Insults and Flaming
they will kill you soon but I will enjoy it,Threats
hihi,Non-Toxic
Grille rly bot,Insults and Flaming
GRILLE NOT HELPING,Other Offensive Texts
A****,Insults and Flaming
pleae dont spoil our games grilles,Non-Toxic
